Name,Class,Country,Launch Year
Mauritius ,Crown Colony-class Light Cruiser ,United Kingdom ,1939 
Maury ,Gridley-class Destroyer ,United States ,1938 
Maxim Gorkiy ,Kirov-class Light Cruiser ,Russia ,1938 
Maya ,Takao-class Heavy Cruiser ,Japan ,1930 
McCall ,Gridley-class Destroyer ,United States ,1937 
McFarland ,Clemson-class Destroyer ,United States ,1920 
Memphis ,Omaha-class Light Cruiser ,United States ,1924 
Menhaden ,Balao-class Submarine ,United States ,1944 
Mero ,Balao-class Submarine ,United States ,1945 
Miami ,Cleveland-class Light Cruiser ,United States ,1942 
Michel ,No Classification ,Germany ,1939 
Michishio ,Asashio-class Destroyer ,Japan ,1937 
Mikuma ,Mogami-class Heavy Cruiser ,Japan ,1934 
Milfoil ,Flower-class Corvette ,United Kingdom ,1942 
Milwaukee ,Omaha-class Light Cruiser ,United States ,1921 
Minegumo ,Asashio-class Destroyer ,Japan ,1938 
Mingo ,Gato-class Submarine ,United States ,1942 
Minneapolis ,New Orleans-class Heavy Cruiser ,United States ,1933 
Minquan ,No Classification ,China ,1929 
Mircea ,Gorch Fock-class Barque ,Germany ,1938 
Mississippi ,New Mexico-class Battleship ,United States ,1917 
Missouri ,Iowa-class Battleship ,United States ,1944 
Mogami ,Mogami-class Heavy Cruiser ,Japan ,1934 
Molotov ,Kirov-class Light Cruiser ,Russia ,1939 
Monaghan ,Farragut-class Destroyer ,United States ,1935 
Montcalm ,La Galissonniƒ¨re-class Light Cruiser ,France ,1935 
Monterey ,Independence-class Light Carrier ,United States ,1943 
Montpelier ,Cleveland-class Light Cruiser ,United States ,1942 
Mugford ,Bagley-class Destroyer ,United States ,1936 
Murasame ,Shiratsuyu-class Destroyer ,Japan ,1937 
Musashi ,Yamato-class Battleship ,Japan ,1940 
Mutsu ,Nagato-class Battleship ,Japan ,1920 
Mutsuki ,Mutsuki-class Destroyer ,Japan ,1926 
Myoko ,Myoko-class Heavy Cruiser ,Japan ,1927 
Mƒ¶we ,1923-class Motor Torpedo Boat ,Germany ,1926 
N (Planned) ,M-class Light Cruiser ,Germany ,"1945 (Projected, not actual) "
N (Planned) ,H-class Battleship ,Germany ,"1943 (Projected, not actual) "
N (Planned) ,M-class Light Cruiser ,Germany ,"1942 (Projected, not actual) "
N2 (Planned) ,M2-class Light Cruiser ,Germany ,"1947 (Projected, not actual) "
Nachi ,Myoko-class Heavy Cruiser ,Japan ,1927 
Nagara ,Nagara-class Light Cruiser ,Japan ,1922 
Nagato ,Nagato-class Battleship ,Japan ,1919 
Nagatsuki ,Mutsuki-class Destroyer ,Japan ,1927 
Naka ,Sendai-class Light Cruiser ,Japan ,1925 
Nashville ,Brooklyn-class Light Cruiser ,United States ,1937 
Natoma Bay ,Casablanca-class Escort Carrier ,United States ,1943 
Natori ,Nagara-class Light Cruiser ,Japan ,1922 
Nautilus ,Narwhal-class Submarine ,United States ,1930 
Nelson ,Nelson-class Battleship ,United Kingdom ,1925 
Neptune ,Leander-class Light Cruiser ,United Kingdom ,1933 
Nevada ,Nevada-class Battleship ,United States ,1914 
New Jersey ,Iowa-class Battleship ,United States ,1942 
New Mexico ,New Mexico-class Battleship ,United States ,1917 
New Orleans ,New Orleans-class Heavy Cruiser ,United States ,1933 
New York ,New York-class Battleship ,United States ,1912 
Newcastle ,Town-class Light Cruiser ,United Kingdom ,1936 
Ninghai ,Ninghai-class Light Cruiser ,China ,1931 
Nisshin ,Nisshin-class Seaplane Carrier ,Japan ,1939 
Nordmark ,Dithmarschen-class Auxiliary ,Germany ,1937 
North Carolina ,North Carolina-class Battleship ,United States ,1940 
Northampton ,Northampton-class Heavy Cruiser ,United States ,1929 
Noshiro ,Agano-class Light Cruiser ,Japan ,1942 
Nƒrnberg ,Leipzig-class Light Cruiser ,Germany ,1934 
O (Planned) ,O-class Battlecruiser ,Germany ,"1941 (Projected, not actual) "
O (Planned) ,M-class Light Cruiser ,Germany ,"1943 (Projected, not actual) "
O (Planned) ,M-class Light Cruiser ,Germany ,"1945 (Projected, not actual) "
O'Brien ,Sims-class Destroyer ,United States ,1939 
O2 (Planned) ,M2-class Light Cruiser ,Germany ,"1947 (Projected, not actual) "
Oberon ,O-class Submarine ,United Kingdom ,1926 
Oi ,Kuma-class Light Cruiser ,Japan ,1920 
Ommaney Bay ,Casablanca-class Escort Carrier ,United States ,1943 
Oregon ,Indiana-class Battleship ,United States ,1893 
Orion ,No Classification ,Germany ,1930 
Orzel ,Orzel-class Submarine ,Poland ,1938 
Ostmark ,No Classification ,Germany ,1936 
Otto Wƒnsche ,Otto Wƒnsche-class Submarine Tender ,Germany ,1940 
Oyodo ,Oyodo-class Light Cruiser ,Japan ,1942 
P (Planned) ,M-class Light Cruiser ,Germany ,"1945 (Projected, not actual) "
P (Planned) ,O-class Battlecruiser ,Germany ,"1941 (Projected, not actual) "
P (Planned) ,M-class Light Cruiser ,Germany ,"1943 (Projected, not actual) "
P1 (Planned) ,P-class Heavy Cruiser ,Germany ,"1943 (Projected, not actual) "
P10 (Planned) ,P-class Heavy Cruiser ,Germany ,"1944 (Projected, not actual) "
P11 (Planned) ,P-class Heavy Cruiser ,Germany ,"1944 (Projected, not actual) "
P12 (Planned) ,P-class Heavy Cruiser ,Germany ,"1945 (Projected, not actual) "
P2 (Planned) ,P-class Heavy Cruiser ,Germany ,"1942 (Projected, not actual) "
P2 (Planned) ,M2-class Light Cruiser ,Germany ,"1947 (Projected, not actual) "
P3 (Planned) ,P-class Heavy Cruiser ,Germany ,"1944 (Projected, not actual) "
P4 (Planned) ,P-class Heavy Cruiser ,Germany ,"1942 (Projected, not actual) "
P5 (Planned) ,P-class Heavy Cruiser ,Germany ,"1943 (Projected, not actual) "
P6 (Planned) ,P-class Heavy Cruiser ,Germany ,"1945 (Projected, not actual) "
P7 (Planned) ,P-class Heavy Cruiser ,Germany ,"1945 (Projected, not actual) "
P8 (Planned) ,P-class Heavy Cruiser ,Germany ,"1945 (Projected, not actual) "
P9 (Planned) ,P-class Heavy Cruiser ,Germany ,"1944 (Projected, not actual) "
Parche ,Balao-class Submarine ,United States ,1943 
Parizhskava Kommuna ,Gangut-class Battleship ,Russia ,1911 
Pasadena ,Cleveland-class Light Cruiser ,United States ,1943 
Pennsylvania ,Pennsylvania-class Battleship ,United States ,1915 
Pensacola ,Pensacola-class Heavy Cruiser ,United States ,1929 
Perch (Porpoise-class) ,Porpoise-class Submarine ,United States ,1936 
Permit ,Porpoise-class Submarine ,United States ,1936 
Perth ,Leander-class Light Cruiser ,Australia ,1934 
Petrof Bay ,Casablanca-class Escort Carrier ,United States ,1944 
Philip ,Fletcher-class Destroyer ,United States ,1942 
Phoenix ,Brooklyn-class Light Cruiser ,United States ,1938 
Pickerel ,Porpoise-class Submarine ,United States ,1936 
Picking ,Fletcher-class Destroyer ,United States ,1943 
Pinghai ,Ninghai-class Light Cruiser ,China ,1935 
Pinguin ,No Classification ,Germany ,1936 
Pintado ,Balao-class Submarine ,United States ,1943 
Piranha ,Balao-class Submarine ,United States ,1943 
Plaice ,Balao-class Submarine ,United States ,1943 
Pogy ,Gato-class Submarine ,United States ,1942 
Pollack ,Porpoise-class Submarine ,United States ,1936 
Pompon ,Gato-class Submarine ,United States ,1942 
Porter ,Porter-class Destroyer ,United States ,1935 
Portland ,Portland-class Heavy Cruiser ,United States ,1932 
Preston (Fletcher-class) ,Fletcher-class Destroyer ,United States ,1943 
Preston (Mahan-class) ,Mahan-class Destroyer ,United States ,1936 
Prichett ,Fletcher-class Destroyer ,United States ,1943 
Primauguet ,Duguay-Trouin-class Light Cruiser ,France ,1924 
Princeton ,Independence-class Light Carrier ,United States ,1942 
Pringle ,Fletcher-class Destroyer ,United States ,1942 
Prinz Eugen ,Admiral Hipper-class Heavy Cruiser ,Germany ,1938 
Proteus ,Fulton-class Submarine Tender ,United States ,1942 
Provence ,Bretagne-class Battleship ,France ,1913 
Puffer ,Gato-class Submarine ,United States ,1942 
Q (Planned) ,M-class Light Cruiser ,Germany ,"1943 (Projected, not actual) "
Q (Planned) ,M-class Light Cruiser ,Germany ,"1945 (Projected, not actual) "
Q (Planned) ,O-class Battlecruiser ,Germany ,"1942 (Projected, not actual) "
Q2 (Planned) ,M2-class Light Cruiser ,Germany ,"1947 (Projected, not actual) "
Queen Elizabeth ,No Classification ,United Kingdom ,1938 
Queen Elizabeth ,Queen Elizabeth-class Battleship ,United Kingdom ,1913 
Queen Mary ,No Classification ,United Kingdom ,1934 
Quincy (New Orleans-class) ,New Orleans-class Heavy Cruiser ,United States ,1935 
R (Planned) ,M-class Light Cruiser ,Germany ,"1943 (Projected, not actual) "
R (Planned) ,M-class Light Cruiser ,Germany ,"1945 (Projected, not actual) "
R-1 ,R-class Submarine ,United States ,1918 
R-14 ,R-class Submarine ,United States ,1919 
R-5 ,R-class Submarine ,United States ,1918 
R2 (Planned) ,M2-class Light Cruiser ,Germany ,"1947 (Projected, not actual) "
Rall ,Evarts-class Destroyer Escort ,United States ,1943 
Ralph Talbot ,Bagley-class Destroyer ,United States ,1936 
Randolph ,Essex-class Aircraft Carrier ,United States ,1944 
Rawalpindi ,R-class Merchant Vessel ,United Kingdom ,1925 
Ray ,Gato-class Submarine ,United States ,1943 
Renshaw ,Fletcher-class Destroyer ,United States ,1942 
Reuben James ,Clemson-class Destroyer ,United States ,1919 
Richelieu ,Richelieu-class Battleship ,France ,1939 
Richthofen ,Hans Albrecht Wedel-class Seaplane Tender ,Germany ,1942 
Ro-58 ,Type L3-class Submarine ,Japan ,1922 
Rock ,Gato-class Submarine ,United States ,1943 
Rodney ,Nelson-class Battleship ,United Kingdom ,1925 
Roma ,Vittorio Veneto-class Battleship ,Italy ,1940 
Royal Sovereign ,Revenge-class Battleship ,United Kingdom ,1915 
Runner (Gato-class) ,Gato-class Submarine ,United States ,1942 
Ryuho ,Ryuho-class Aircraft Carrier ,Japan ,1933 
Ryujo ,Ryujo-class Aircraft Carrier ,Japan ,1931 
S-18 ,S-class Submarine ,United States ,1920 
S-23 ,S-class Submarine ,United States ,1920 
S-28 ,S-class Submarine ,United States ,1922 
S-30 ,S-class Submarine ,United States ,1918 
S-31 ,S-class Submarine ,United States ,1918 
S-32 ,S-class Submarine ,United States ,1919 
S-33 ,S-class Submarine ,United States ,1918 
S-34 ,S-class Submarine ,United States ,1919 
S-35 ,S-class Submarine ,United States ,1919 
S-37 ,S-class Submarine ,United States ,1919 
S-40 ,S-class Submarine ,United States ,1921 
S-44 ,S-class Submarine ,United States ,1923 
S-45 ,S-class Submarine ,United States ,1923 
S-46 ,S-class Submarine ,United States ,1923 
S-7 ,Srednyaya-class Submarine ,Russia ,1937 
Saar ,Saar-class Submarine Tender ,Germany ,1934 
Sable ,No Classification ,United States ,1923 
Saint Paul ,Baltimore-class Heavy Cruiser ,United States ,1944 
Sakawa ,Agano-class Light Cruiser ,Japan ,1944 
Salmon ,Salmon-class Submarine ,United States ,1937 
Salt Lake City ,Pensacola-class Heavy Cruiser ,United States ,1929 
San Diego ,Atlanta-class Light Cruiser ,United States ,1941 
San Jacinto ,Independence-class Light Carrier ,United States ,1943 
San Juan ,Atlanta-class Light Cruiser ,United States ,1941 
Sanborn ,Haskell-class Attack Transport ,United States ,1944 
Saratoga ,Lexington-class Aircraft Carrier ,United States ,1925 
Sargent Bay ,Casablanca-class Escort Carrier ,United States ,1944 
Sargo ,Sargo-class Submarine ,United States ,1938 
Saufley ,Fletcher-class Destroyer ,United States ,1942 
Savo Island ,Casablanca-class Escort Carrier ,United States ,1943 
Sawfish ,Gato-class Submarine ,United States ,1942 
Scharnhorst ,Gneisenau-class Battlecruiser ,Germany ,1936 
Schlesien ,Deutschland-class Battleship ,Germany ,1906 
Schleswig-Holstein ,Deutschland-class Battleship ,Germany ,1906 
Schwabenland ,No Classification ,Germany ,1925 
Scirƒ¨ ,Adua-class Submarine ,Italy ,1938 
Scorpion ,Gato-class Submarine ,United States ,1942 
Sea Cat ,Balao-class Submarine ,United States ,1944 
Sea Robin ,Balao-class Submarine ,United States ,1944 
Seahorse ,Balao-class Submarine ,United States ,1943 
Seal ,Salmon-class Submarine ,United States ,1937 
Sealion (Sargo-class) ,Sargo-class Submarine ,United States ,1939 
Searaven ,Sargo-class Submarine ,United States ,1939 
Seeadler ,1923-class Motor Torpedo Boat ,Germany ,1926 
Segundo ,Balao-class Submarine ,United States ,1944 
Seisho Maru ,No Classification ,Japan ,1918 
Sendai ,Sendai-class Light Cruiser ,Japan ,1923 
Sennet ,Balao-class Submarine ,United States ,1944 
Settsu ,Kawachi-class Battleship ,Japan ,1911 
Seydlitz ,Admiral Hipper-class Heavy Cruiser ,Germany ,1939 
Shad ,Gato-class Submarine ,United States ,1942 
Shamrock Bay ,Casablanca-class Escort Carrier ,United States ,1944 
Shark (Balao-class) ,Balao-class Submarine ,United States ,1943 
Shark (Porpoise-class) ,Porpoise-class Submarine ,United States ,1935 
Shaw ,Mahan-class Destroyer ,United States ,1935 
ShCh-205 ,Shchuka-class Submarine ,Russia ,1934 
ShCh-307 ,Shchuka-class Submarine ,Russia ,1934 
ShCh-317 ,Shchuka-class Submarine ,Russia ,1935 
ShCh-320 ,Shchuka-class Submarine ,Russia ,1935 
ShCh-324 ,Shchuka-class Submarine ,Russia ,1935 
ShCh-401 ,Shchuka-class Submarine ,Russia ,1935 
Shigure ,Shiratsuyu-class Destroyer ,Japan ,1936 
Shimakaze ,Shimakaze-class Destroyer ,Japan ,1942 
Shinano ,Shinano-class Aircraft Carrier ,Japan ,1944 
Shoho ,Zuiho-class Light Carrier ,Japan ,1935 
Shokaku ,Shokaku-class Aircraft Carrier ,Japan ,1939 
Sims ,Sims-class Destroyer ,United States ,1939 
Skipjack ,Salmon-class Submarine ,United States ,1937 
Smalley ,Fletcher-class Destroyer ,United States ,1943 
Snook ,Gato-class Submarine ,United States ,1942 
Sokrushitelnyi ,Gnevny-class Destroyer ,Russia ,1936 
Soryu ,Soryu-class Aircraft Carrier ,Japan ,1935 
South Dakota ,South Dakota-class Battleship ,United States ,1941 
Soya ,No Classification ,Japan ,1937 
SP10 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1944 (Projected, not actual) "
SP11 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1944 (Projected, not actual) "
SP12 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1944 (Projected, not actual) "
SP13 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1945 (Projected, not actual) "
SP14 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1945 (Projected, not actual) "
SP15 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1945 (Projected, not actual) "
SP16 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1946 (Projected, not actual) "
SP17 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1946 (Projected, not actual) "
SP18 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1946 (Projected, not actual) "
SP19 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1946 (Projected, not actual) "
SP2 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1942 (Projected, not actual) "
SP20 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1946 (Projected, not actual) "
SP21 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1946 (Projected, not actual) "
SP22 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1946 (Projected, not actual) "
SP3 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1944 (Projected, not actual) "
SP4 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1943 (Projected, not actual) "
SP5 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1943 (Projected, not actual) "
SP6 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1943 (Projected, not actual) "
SP7 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1943 (Projected, not actual) "
SP8 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1944 (Projected, not actual) "
SP9 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1943 (Projected, not actual) "
Spencer ,Treasury-class USCG Cutter ,United States ,1937 
Spot ,Balao-class Submarine ,United States ,1944 
Springer ,Balao-class Submarine ,United States ,1944 
Sproston ,Fletcher-class Destroyer ,United States ,1942 
St. Louis ,St. Louis-class Light Cruiser ,United States ,1938 
Steamer Bay ,Casablanca-class Escort Carrier ,United States ,1944 
Stephen Hopkins ,Liberty-class Merchant Vessel ,United States ,1942 
Sterlet ,Balao-class Submarine ,United States ,1943 
Stier ,No Classification ,Germany ,1936 
Stord ,S-class Destroyer ,Norway ,1943 
Strasbourg ,Dunkerque-class Battleship ,France ,1936 
Stuart ,Scott-class Destroyer ,Australia ,1918 
Suffren ,Suffren-class Heavy Cruiser ,France ,1927 
Sunfish (Gato-class) ,Gato-class Submarine ,United States ,1942 
Sunfish (S-class) ,S-class Submarine ,United Kingdom ,1936 
Suzuya ,Mogami-class Heavy Cruiser ,Japan ,1934 
Sydney ,Leander-class Light Cruiser ,Australia ,1934 
T1 ,1935-class Motor Torpedo Boat ,Germany ,1938 
T10 ,1935-class Motor Torpedo Boat ,Germany ,1939 
T11 ,1935-class Motor Torpedo Boat ,Germany ,1939 
T12 ,1935-class Motor Torpedo Boat ,Germany ,1939 
T13 ,1937-class Motor Torpedo Boat ,Germany ,1939 
T14 ,1937-class Motor Torpedo Boat ,Germany ,1939 
T15 ,1937-class Motor Torpedo Boat ,Germany ,1939 
T16 ,1937-class Motor Torpedo Boat ,Germany ,1939 
T17 ,1937-class Motor Torpedo Boat ,Germany ,1940 
T18 ,1937-class Motor Torpedo Boat ,Germany ,1940 
T19 ,1937-class Motor Torpedo Boat ,Germany ,1940 
T2 ,1935-class Motor Torpedo Boat ,Germany ,1938 
T20 ,1937-class Motor Torpedo Boat ,Germany ,1940 
T21 ,1937-class Motor Torpedo Boat ,Germany ,1940 
T23 ,1939-class Motor Torpedo Boat ,Germany ,1941 
T24 ,1939-class Motor Torpedo Boat ,Germany ,1941 
T25 ,1939-class Motor Torpedo Boat ,Germany ,1941 
T26 ,1939-class Motor Torpedo Boat ,Germany ,1942 
T27 ,1939-class Motor Torpedo Boat ,Germany ,1942 
T28 ,1939-class Motor Torpedo Boat ,Germany ,1942 
T29 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T3 ,1935-class Motor Torpedo Boat ,Germany ,1938 
T30 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T31 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T32 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T33 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T34 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T35 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T36 ,1939-class Motor Torpedo Boat ,Germany ,1944 
T37 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T38 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T39 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T4 ,1935-class Motor Torpedo Boat ,Germany ,1938 
T40 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T41 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T42 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T43 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T44 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T45 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T5 ,1935-class Motor Torpedo Boat ,Germany ,1937 
T6 ,1935-class Motor Torpedo Boat ,Germany ,1937 
T7 ,1935-class Motor Torpedo Boat ,Germany ,1938 
T8 ,1935-class Motor Torpedo Boat ,Germany ,1938 
T9 ,1935-class Motor Torpedo Boat ,Germany ,1938 
Tabberer ,John C. Butler-class Destroyer Escort ,United States ,1944 
Taiho ,Taiho-class Aircraft Carrier ,Japan ,1943 
Taiyo ,Taiyo-class Escort Carrier ,Japan ,1940 
Takao ,Takao-class Heavy Cruiser ,Japan ,1930 
Tama ,Kuma-class Light Cruiser ,Japan ,1920 
Tang ,Balao-class Submarine ,United States ,1943 
Tanga ,Tanga-class Tender ,Germany ,1937 
Tanikaze ,Kagero-class Destroyer ,Japan ,1940 
Tatsuta ,Tenryu-class Light Cruiser ,Japan ,1918 
Tatsuta Maru ,No Classification ,Japan ,1929 
Tautog ,Tambor-class Submarine ,United States ,1940 
Tennessee ,Tennessee-class Battleship ,United States ,1919 
Tenryu ,Tenryu-class Light Cruiser ,Japan ,1918 
Texas ,New York-class Battleship ,United States ,1912 
Thor ,No Classification ,Germany ,1938 
Thorn ,Gleaves-class Destroyer ,United States ,1943 
Thunderbolt ,T-class Submarine ,United Kingdom ,1938 
Ticonderoga ,Essex-class Aircraft Carrier ,United States ,1944 
Tiger ,1924-class Motor Torpedo Boat ,Germany ,1928 
Tinosa ,Gato-class Submarine ,United States ,1942 
Tirante ,Tench-class Submarine ,United States ,1944 
Tirpitz ,Bismarck-class Battleship ,Germany ,1939 
Tone ,Tone-class Heavy Cruiser ,Japan ,1937 
Tranquility ,Haven-class Hospital Ship ,United States ,1944 
Trento ,Trento-class Heavy Cruiser ,Italy ,1927 
Trepang ,Balao-class Submarine ,United States ,1944 
Tribune ,T-class Submarine ,United Kingdom ,1938 
Trieste ,Trento-class Heavy Cruiser ,Italy ,1926 
Trillium ,Flower-class Corvette ,Canada ,1940 
Tsingtau ,Tsingtau-class Tender ,Germany ,1934 
Tucker ,Mahan-class Destroyer ,United States ,1936 
Tunny ,Gato-class Submarine ,United States ,1942 
Tuscaloosa ,New Orleans-class Heavy Cruiser ,United States ,1933 
U-1 ,Type II-class Submarine ,Germany ,1935 
U-10 ,Type II-class Submarine ,Germany ,1935 
U-100 ,Type VII-class Submarine ,Germany ,1940 
U-101 ,Type VII-class Submarine ,Germany ,1940 
U-102 ,Type VII-class Submarine ,Germany ,1940 
U-103 ,Type IX-class Submarine ,Germany ,1940 
U-104 ,Type IX-class Submarine ,Germany ,1940 
U-105 ,Type IX-class Submarine ,Germany ,1940 
U-1059 ,Type VII-class Submarine ,Germany ,1943 
U-106 ,Type IX-class Submarine ,Germany ,1940 
U-107 ,Type IX-class Submarine ,Germany ,1940 
U-108 ,Type IX-class Submarine ,Germany ,1940 
U-109 ,Type IX-class Submarine ,Germany ,1940 
U-11 ,Type II-class Submarine ,Germany ,1935 
U-110 ,Type IX-class Submarine ,Germany ,1940 
U-111 ,Type IX-class Submarine ,Germany ,1940 
U-12 ,Type II-class Submarine ,Germany ,1935 
U-120 ,Type II-class Submarine ,Germany ,1940 
U-121 ,Type II-class Submarine ,Germany ,1940 
U-122 ,Type IX-class Submarine ,Germany ,1939 
U-123 ,Type IX-class Submarine ,Germany ,1940 
U-1233 ,Type IX-class Submarine ,Germany ,1943 
U-1234 ,Type IX-class Submarine ,Germany ,1944 
U-124 ,Type IX-class Submarine ,Germany ,1940 
U-125 ,Type IX-class Submarine ,Germany ,1940 
U-13 ,Type II-class Submarine ,Germany ,1935 
U-132 ,Type VII-class Submarine ,Germany ,1941 
U-134 ,Type VII-class Submarine ,Germany ,1941 
U-135 ,Type VII-class Submarine ,Germany ,1941 
U-136 ,Type VII-class Submarine ,Germany ,1941 
U-137 ,Type II-class Submarine ,Germany ,1940 
U-138 ,Type II-class Submarine ,Germany ,1940 
U-139 ,Type II-class Submarine ,Germany ,1940 
U-14 ,Type II-class Submarine ,Germany ,1935 
U-140 ,Type II-class Submarine ,Germany ,1940 
U-141 ,Type II-class Submarine ,Germany ,1940 
U-142 ,Type II-class Submarine ,Germany ,1940 
U-143 ,Type II-class Submarine ,Germany ,1940 
U-144 ,Type II-class Submarine ,Germany ,1940 
U-145 ,Type II-class Submarine ,Germany ,1940 
U-146 ,Type II-class Submarine ,Germany ,1940 
U-147 ,Type II-class Submarine ,Germany ,1940 
U-148 ,Type II-class Submarine ,Germany ,1940 
U-149 ,Type II-class Submarine ,Germany ,1940 
U-15 ,Type II-class Submarine ,Germany ,1936 
U-150 ,Type II-class Submarine ,Germany ,1940 
U-151 ,Type II-class Submarine ,Germany ,1940 
U-152 ,Type II-class Submarine ,Germany ,1940 
U-153 ,Type IX-class Submarine ,Germany ,1941 
U-154 ,Type IX-class Submarine ,Germany ,1941 
U-155 ,Type IX-class Submarine ,Germany ,1941 
U-156 ,Type IX-class Submarine ,Germany ,1941 
U-157 ,Type IX-class Submarine ,Germany ,1941 
U-158 ,Type IX-class Submarine ,Germany ,1941 
U-159 ,Type IX-class Submarine ,Germany ,1941 
U-16 ,Type II-class Submarine ,Germany ,1936 
U-161 ,Type IX-class Submarine ,Germany ,1941 
U-162 ,Type IX-class Submarine ,Germany ,1941 
U-163 ,Type IX-class Submarine ,Germany ,1941 
U-164 ,Type IX-class Submarine ,Germany ,1941 
U-166 ,Type IX-class Submarine ,Germany ,1941 
U-167 ,Type IX-class Submarine ,Germany ,1942 
U-168 ,Type IX-class Submarine ,Germany ,1942 
U-17 ,Type II-class Submarine ,Germany ,1935 
U-171 ,Type IX-class Submarine ,Germany ,1941 
U-172 ,Type IX-class Submarine ,Germany ,1941 
U-173 ,Type IX-class Submarine ,Germany ,1941 
U-174 ,Type IX-class Submarine ,Germany ,1941 
U-175 ,Type IX-class Submarine ,Germany ,1941 
U-176 ,Type IX-class Submarine ,Germany ,1941 
U-177 ,Type IX-class Submarine ,Germany ,1941 
U-178 ,Type IX-class Submarine ,Germany ,1941 
U-179 ,Type IX-class Submarine ,Germany ,1941 
U-18 ,Type II-class Submarine ,Germany ,1935 
U-180 ,Type IX-class Submarine ,Germany ,1941 
U-181 ,Type IX-class Submarine ,Germany ,1941 
U-182 ,Type IX-class Submarine ,Germany ,1942 
U-184 ,Type IX-class Submarine ,Germany ,1942 
U-187 ,Type IX-class Submarine ,Germany ,1942 
U-188 ,Type IX-class Submarine ,Germany ,1942 
U-189 ,Type IX-class Submarine ,Germany ,1942 
U-19 ,Type II-class Submarine ,Germany ,1935 
U-190 ,Type IX-class Submarine ,Germany ,1942 
U-191 ,Type IX-class Submarine ,Germany ,1942 
U-197 ,Type IX-class Submarine ,Germany ,1942 
U-198 ,Type IX-class Submarine ,Germany ,0000 
U-2 ,Type II-class Submarine ,Germany ,1935 
U-20 ,Type II-class Submarine ,Germany ,1936 
U-201 ,Type VII-class Submarine ,Germany ,1940 
U-202 ,Type VII-class Submarine ,Germany ,1941 
U-203 ,Type VII-class Submarine ,Germany ,1941 
U-204 ,Type VII-class Submarine ,Germany ,1941 
U-205 ,Type VII-class Submarine ,Germany ,1941 
U-206 ,Type VII-class Submarine ,Germany ,1941 
U-207 ,Type VII-class Submarine ,Germany ,1941 
U-208 ,Type VII-class Submarine ,Germany ,1941 
U-21 ,Type II-class Submarine ,Germany ,1936 
U-213 ,Type VII-class Submarine ,Germany ,1941 
U-214 ,Type VII-class Submarine ,Germany ,1941 
U-22 ,Type II-class Submarine ,Germany ,1936 
U-23 ,Type II-class Submarine ,Germany ,1936 
U-24 ,Type II-class Submarine ,Germany ,1936 
U-25 ,Type I-class Submarine ,Germany ,1936 
U-2501 ,Type XXI-class Submarine ,Germany ,1944 
U-26 ,Type I-class Submarine ,Germany ,1936 
U-27 ,Type VII-class Submarine ,Germany ,1936 
U-28 ,Type VII-class Submarine ,Germany ,1936 
